Policy,Seed,Reward,ESS,Missingness Rate
random,42,-1.4018761691887862,20.0,0.738
random,100,-1.3506742929457685,20.0,0.7415
random,2024,-1.3806016601672395,20.0,0.7495
unconstrained,42,-0.6313967721212655,19.54374454992303,0.9390000000000001
unconstrained,100,-2.4191560022154825,19.70575894216121,0.5355000000000001
unconstrained,2024,-0.7132487814943306,18.05529741380096,0.8835000000000001
static,42,-133.42743930294927,18.139194999243365,0.589
static,100,-269.76117826114626,19.980143869273853,0.47450000000000003
static,2024,-85.53993343090394,17.910014660114225,0.6125
dynamic,42,-6.730652770385982,18.206889653490226,0.62
dynamic,100,-6.2916372367020506,19.984911857386205,0.9650000000000001
dynamic,2024,-1.393046626871594,18.481727934219972,0.805
